phase,height,psi,theta,alpha1,alpha2,alpha3
0.0,107.5,0.0,0.0,-2.9613137572110855,-2.9613137572110864,-2.9613137572110864
0.031415926535897934,108.04968828386724,0.0,0.0,-2.0905549484671027,-2.090554948467104,-2.090554948467104
0.06283185307179587,108.59883409176298,0.0,0.0,-1.2194246638811088,-1.21942466388111,-1.21942466388111
0.09424777960769379,109.146895483074,0.0,0.0,-0.3485963572705741,-0.34859635727057514,-0.34859635727057514
0.12566370614359174,109.69333158737533,0.0,0.0,0.5212610681710326,0.5212610681710316,0.5212610681710316
0.15707963267948966,110.23760313820404,0.0,0.0,1.3894825696437512,1.38948256964375,1.38948256964375
0.18849555921538758,110.77917300525019,0.0,0.0,2.2554061753826993,2.2554061753826984,2.2554061753826984
0.21991148575128555,111.3175067244395,0.0,0.0,3.1183721024221382,3.1183721024221374,3.1183721024221374
0.25132741228718347,111.85207302538495,0.0,0.0,3.977721788182992,3.9777217881829916,3.9777217881829916
0.2827433388230814,112.38234435568651,0.0,0.0,4.832796843045995,4.832796843045993,4.832796843045993
0.3141592653589793,112.90779740156158,0.0,0.0,5.682937931571698,5.682937931571698,5.682937931571698
0.34557519189487723,113.4279136042926,0.0,0.0,6.5274835905912125,6.527483590591212,6.527483590591212
0.37699111843077515,113.94217967198186,0.0,0.0,7.365768993046215,7.365768993046213,7.365768993046213
0.4084070449666731,114.45008808610866,0.0,0.0,8.197124667235451,8.19712466723545,8.19712466723545
0.4398229715025711,114.95113760238877,0.0,0.0,9.020875182056582,9.020875182056582,9.020875182056582
0.47123889803846897,115.44483374544207,0.0,0.0,9.836337809949734,9.836337809949734,9.836337809949734
0.5026548245743669,115.93068929678002,0.0,0.0,10.64282118058143,10.642821180581427,10.642821180581427
0.5340707511102649,116.4082247756315,0.0,0.0,11.439623939886125,11.439623939886125,11.439623939886125
0.5654866776461628,116.87696891213244,0.0,0.0,12.226033430930595,12.226033430930594,12.226033430930594
0.5969026041820606,117.33645911241229,0.0,0.0,13.001324415206765,13.001324415206765,13.001324415206765
0.6283185307179586,117.78624191511828,0.0,0.0,13.76475785540402,13.764757855404019,13.764757855404019
0.6597344572538565,118.22587343892708,0.0,0.0,14.515579783464512,14.515579783464512,14.515579783464512
0.6911503837897545,118.65491982060207,0.0,0.0,15.253020280774344,15.253020280774344,15.253020280774344
0.7225663103256524,119.0729576431639,0.0,0.0,15.976292600656347,15.976292600656345,15.976292600656345
0.7539822368615503,119.47957435375206,0.0,0.0,16.684592466854795,16.684592466854795,16.684592466854795
0.7853981633974483,119.87436867076458,0.0,0.0,17.37709758534684,17.37709758534684,17.37709758534684
0.8168140899333463,120.2569509798747,0.0,0.0,18.05296741046409,18.05296741046409,18.05296741046409
0.8482300164692442,120.62694371853304,0.0,0.0,18.71134320978541,18.71134320978541,18.71134320978541
0.8796459430051422,120.98398174857631,0.0,0.0,19.351348475359035,19.351348475359035,19.351348475359035
0.91106186954104,121.32771271657458,0.0,0.0,19.97208973125243,19.972089731252428,19.972089731252428
0.9424777960769379,121.65779740156158,0.0,0.0,20.57265778888801,20.57265778888801,20.57265778888801
0.9738937226128359,121.97391004980483,0.0,0.0,21.152129501718363,21.152129501718363,21.152129501718363
1.0053096491487339,122.27573869628526,0.0,0.0,21.709570069101062,21.709570069101062,21.709570069101062
1.0367255756846319,122.56298547256901,0.0,0.0,22.24403593529106,22.244035935291052,22.244035935291052
1.0681415022205298,122.83536690076761,0.0,0.0,22.754578322818116,22.754578322818116,22.754578322818116
1.0995574287564276,123.09261417329644,0.0,0.0,23.240247429725834,23.240247429725834,23.240247429725834
1.1309733552923256,123.33447341815534,0.0,0.0,23.700097306865665,23.700097306865658,23.700097306865658
1.1623892818282235,123.56070594946968,0.0,0.0,24.13319141445091,24.133191414450906,24.133191414450906
1.1938052083641213,123.7710885030444,0.0,0.0,24.53860883636559,24.53860883636559,24.53860883636559
1.2252211349000193,123.96541345669894,0.0,0.0,24.915451106551593,24.91545110655159,24.91545110655159
1.2566370614359172,124.14348903516519,0.0,0.0,25.262849574745058,25.262849574745058,25.262849574745058
1.2880529879718152,124.3051394993465,0.0,0.0,25.579973209864654,25.579973209864647,25.579973209864647
1.319468914507713,124.45020531975103,0.0,0.0,25.86603670981138,25.86603670981138,25.86603670981138
1.350884841043611,124.57854333392808,0.0,0.0,26.120308758033506,26.120308758033506,26.120308758033506
1.382300767579509,124.69002688775205,0.0,0.0,26.342120241931674,26.342120241931674,26.342120241931674
1.413716694115407,124.7845459604149,0.0,0.0,26.530872228168768,26.530872228168764,26.530872228168764
1.4451326206513049,124.86200727300337,0.0,0.0,26.68604347731513,26.686043477315128,26.686043477315128
1.4765485471872029,124.9223343805539,0.0,0.0,26.807197276855646,26.807197276855643,26.807197276855643
1.5079644737231006,124.96546774749476,0.0,0.0,26.89398737877453,26.89398737877453,26.89398737877453
1.5393804002589986,124.9913648064003,0.0,0.0,26.946162846371518,26.946162846371514,26.946162846371514
1.5707963267948966,125.0,0.0,0.0,26.963571644447118,26.96357164444711,26.96357164444711
1.6022122533307945,124.9913648064003,0.0,0.0,26.946162846371518,26.946162846371514,26.946162846371514
1.6336281798666925,124.96546774749476,0.0,0.0,26.89398737877453,26.89398737877453,26.89398737877453
1.6650441064025905,124.9223343805539,0.0,0.0,26.807197276855646,26.807197276855643,26.807197276855643
1.6964600329384885,124.86200727300336,0.0,0.0,26.686043477315103,26.6860434773151,26.6860434773151
1.7278759594743864,124.7845459604149,0.0,0.0,26.530872228168768,26.530872228168764,26.530872228168764
1.7592918860102844,124.69002688775205,0.0,0.0,26.342120241931674,26.342120241931674,26.342120241931674
1.7907078125461822,124.57854333392808,0.0,0.0,26.120308758033506,26.120308758033506,26.120308758033506
1.82212373908208,124.45020531975105,0.0,0.0,25.86603670981141,25.866036709811407,25.866036709811407
