phase,height,psi,theta,alpha1,alpha2,alpha3
0.0,107.5,14.99999524397752,0.0,-26.59630681115195,8.361215334292226,8.361215334292226
0.031415926535897934,107.5,14.992968850207177,0.4711613861719244,-26.5849064479283,8.956446387024771,7.758082873491353
0.06283185307179587,107.5,14.971146206304747,0.9418577929397006,-26.549502104407374,9.542684173127334,7.147026886661836
0.09424777960769379,107.5,14.934548848585079,1.4116246997777147,-26.4901379815014,10.119378946894706,6.528561766727613
0.12566370614359174,107.5,14.883212894221792,1.8799985034645639,-26.40688810609127,10.685972155391338,5.903187921254027
0.15707963267948966,107.5,14.817189005603977,2.346516975603463,-26.299856107829175,11.24189819618057,5.271391052681203
0.18849555921538758,107.5,14.736542340338538,2.810719718785869,-26.169174908514293,11.786586305131893,4.6336417058950845
0.21991148575128555,107.5,14.641352486947502,3.2721486209481383,-26.01500632678023,12.319462544045557,3.9903950940773805
0.25132741228718347,107.5,14.531713386323757,3.730348307472822,-25.83754060154847,12.83995185724318,3.342091209315532
0.2827433388230814,107.5,14.407733239022729,4.184866590588439,-25.63699583836576,13.347480166249863,2.6891552197881716
0.3141592653589793,107.5,14.2695343984815,4.635254915624211,-25.413617383344782,13.841476472214236,2.0319981505687656
0.34557519189487723,107.5,14.117253250270737,5.08106880367937,-25.167677129959653,14.321374936745183,1.3710178403115614
0.37699111843077515,107.5,13.951040077498595,5.521868290270168,-24.899472764403285,14.786616913348139,0.7066001614052884
0.4084070449666731,107.5,13.771058912499443,5.957218359521709,-24.60932695558968,15.236652903574118,0.03912048670343575
0.4398229715025711,107.5,13.577487374953746,6.386689373476091,-24.297586496174,15.670944414301768,-0.6310546182346529
0.47123889803846897,107.5,13.370516496598883,6.809857496093201,-23.9646214011702,16.088965695205783,-1.3035655022394532
0.5026548245743669,107.5,13.150350532703898,7.22630511152573,-23.610823970865074,16.490205338371386,-1.97805736311856
0.5340707511102649,107.5,12.917206760494198,7.63562123625557,-23.236607824765024,16.874167725142396,-2.654178040655613
0.5654866776461628,107.5,12.671315264725155,8.03740192468495,-22.84240691326751,17.24037430859037,-3.3315757011098914
0.5969026041820606,107.5,12.412918710616266,8.431250667781958,-22.42867451362953,17.588364723413296,-4.009896447843329
0.6283185307179586,107.5,12.14227210436983,8.816778784387097,-21.995882216615687,17.91769771857001,-4.688781893588654
0.6597344572538565,107.5,11.859642541510665,9.193605804794645,-21.54451890995448,18.227951911483206,-5.36786673010922
0.6911503837897545,107.5,11.565308943295022,9.561359846230344,-21.075089764421474,18.518726366157,-6.046776330605644
0.7225663103256524,107.5,11.259561781449012,9.919677979854777,-20.58811522800984,18.789641001010516,-6.725124419231419
0.7539822368615503,107.5,10.942702791508086,10.26820658893033,-20.084130033250204,19.040336835583318,-7.402510840540996
0.7853981633974483,107.5,10.615044675040455,10.606601717798211,-19.563682222311513,19.270476088477302,-8.078519459672783
0.8168140899333463,107.5,10.276910791048438,10.934529411321174,-19.027332194060982,19.479742141916834,-8.752716221641926
0.8482300164692442,107.5,9.928634836852133,11.251666044456893,-18.475651776792322,19.667839391085476,-9.424647395366796
0.8796459430051422,107.5,9.57056051877046,11.557698641636838,-17.909223329855003,19.83449299888303,-10.093838025066209
